Frame,Time,PELO_X,PELO_Y,PELO_Z,PELP_X,PELP_Y,PELP_Z,LKJC_X,LKJC_Y,LKJC_Z,LHJC_X,LHJC_Y,LHJC_Z,LAJC_X,LAJC_Y,LAJC_Z,RHJC_X,RHJC_Y,RHJC_Z,RKJC_X,RKJC_Y,RKJC_Z,RAJC_X,RAJC_Y,RAJC_Z,LTOO_X,LTOO_Y,LTOO_Z,RTOO_X,RTOO_Y,RTOO_Z,TRXO_X,TRXO_Y,TRXO_Z,TRXP_X,TRXP_Y,TRXP_Z
40,0.4,199.824951171875,-3346.2998046875,824.760192871094,191.212860107422,-3308.65014648438,951.585998535156,113.108779907227,-3490.30932617188,476.736572265625,134.044799804688,-3354.14794921875,822.4150390625,134.106857299805,-3748.06958007812,134.678833007812,265.605041503906,-3338.45190429688,827.105102539062,0,0,0,0,0,0,103.887893676758,-3640.99145507812,34.101131439209,0,0,0,165.254989624023,-3230.603515625,1313.19482421875,176.33366394043,-3234.46948242188,1116.29150390625
41,0.41,201.47607421875,-3331.34399414062,825.184997558594,192.36833190918,-3293.88452148438,952.032531738281,112.007080078125,-3470.32299804688,474.916351318359,135.708114624023,-3339.2109375,822.578186035156,132.989196777344,-3736.962890625,142.042175292969,267.243988037109,-3323.47607421875,827.791625976562,0,0,0,0,0,0,104.278762817383,-3638.05053710938,33.0152587890625,0,0,0,166.453369140625,-3215.6220703125,1313.92443847656,177.398971557617,-3219.48022460938,1117.14318847656
42,0.42,202.976699829102,-3316.6162109375,825.79052734375,193.509567260742,-3279.30297851562,952.654846191406,110.913696289062,-3448.89184570312,472.9658203125,137.208129882812,-3324.40209960938,822.964599609375,132.003723144531,-3724.0498046875,149.756546020508,268.745269775391,-3308.830078125,828.616149902344,275.556701660156,-3188.37524414062,475.125061035156,248.317321777344,-3118.98828125,69.8254852294922,104.81827545166,-3633.5400390625,33.2928199768066,272.216979980469,-2967.7734375,71.7265930175781,167.617202758789,-3200.65087890625,1314.86901855469,178.419403076172,-3204.4873046875,1118.21960449219
43,0.43,204.31901550293,-3302.1337890625,826.576354980469,194.621765136719,-3264.9375,953.457580566406,109.865592956543,-3426.08813476562,470.945190429688,138.537460327148,-3309.74072265625,823.570983886719,131.188812255859,-3709.259765625,157.719619750977,270.100524902344,-3294.52587890625,829.581420898438,274.752807617188,-3172.16015625,477.5927734375,247.740051269531,-3115.39868164062,69.9271621704102,105.454307556152,-3626.78930664062,35.117992401123,272.294097900391,-2964.2841796875,68.4552154541016,168.727096557617,-3185.72192382812,1316.01000976562,179.378753662109,-3189.53247070312,1119.49975585938
44,0.44,205.502685546875,-3287.89233398438,827.537353515625,195.696411132812,-3250.7958984375,954.439514160156,108.892723083496,-3402.02294921875,468.933746337891,139.697723388672,-3295.23486328125,824.390991210938,130.569595336914,-3692.54809570312,165.792724609375,271.307647705078,-3280.54858398438,830.683471679688,274.884857177734,-3159.41162109375,479.08203125,247.398010253906,-3113.30151367188,70.0300064086914,106.119804382324,-3617.1787109375,38.4487380981445,272.029205322266,-2962.23974609375,66.2525405883789,169.765411376953,-3170.86279296875,1317.32482910156,180.262542724609,-3174.65087890625,1120.95825195312
45,0.45,206.534439086914,-3273.87036132812,828.6640625,196.732086181641,-3236.86889648438,955.594177246094,108.016899108887,-3376.84008789062,467.026336669922,140.6982421875,-3280.88159179688,825.415710449219,130.159149169922,-3673.89624023438,173.797912597656,272.370635986328,-3266.85913085938,831.912109375,275.446685791016,-3149.47485351562,479.805023193359,247.199844360352,-3112.330078125,70.1688766479492,106.744468688965,-3604.24780273438,43.0475769042969,271.564910888672,-2961.26806640625,64.9397430419922,170.716720581055,-3156.10034179688,1318.79211425781,181.057968139648,-3159.876953125,1122.56994628906
46,0.46,207.427581787109,-3260.03491210938,829.943420410156,197.732376098633,-3223.13305664062,956.910888671875,107.252197265625,-3350.70776367188,465.327239990234,141.555328369141,-3266.66845703125,826.633728027344,129.962051391602,-3653.31079101562,181.52131652832,273.299743652344,-3253.400390625,833.252807617188,276.194030761719,-3141.38403320312,480.123016357422,247.100646972656,-3112.01611328125,70.3561935424805,107.262130737305,-3587.74438476562,48.5526924133301,271.073455810547,-2960.92407226562,64.2476348876953,171.568298339844,-3141.45458984375,1320.38757324219,181.755126953125,-3145.23681640625,1124.30725097656
47,0.47,208.200012207031,-3246.34252929688,831.360229492188,198.704635620117,-3209.55346679688,958.375427246094,106.606483459473,-3323.80908203125,463.944183349609,142.289840698242,-3252.578125,828.031433105469,129.977722167969,-3630.82543945312,188.725021362305,274.110107421875,-3240.10620117188,834.688781738281,276.964935302734,-3134.30078125,480.333984375,247.052886962891,-3111.958984375,70.5798568725586,107.614990234375,-3567.61962890625,54.561897277832,270.695007324219,-2960.83837890625,63.9232902526855,172.310775756836,-3126.94482421875,1322.08862304688,182.346603393555,-3130.75268554688,1126.14404296875
48,0.48,208.871688842773,-3232.75048828125,832.897216796875,199.657913208008,-3196.09375,959.971374511719,106.082946777344,-3296.33740234375,462.980316162109,142.924102783203,-3238.59057617188,829.592834472656,130.200592041016,-3606.50244140625,195.164794921875,274.819244384766,-3226.90942382812,836.201538085938,277.617431640625,-3127.66625976562,480.606628417969,247.003356933594,-3111.88110351562,70.8146057128906,107.755355834961,-3543.98828125,60.6917419433594,270.514678955078,-2960.75756835938,63.7742195129395,172.938064575195,-3112.58154296875,1323.87048339844,182.82795715332,-3116.43725585938,1128.05163574219
49,0.49,209.462051391602,-3219.21826171875,834.535949707031,200.600921630859,-3182.71752929688,961.680053710938,105.680938720703,-3268.48852539062,462.526062011719,143.479125976562,-3224.685546875,831.299499511719,130.617538452148,-3580.42944335938,200.609069824219,275.444915771484,-3213.75024414062,837.772094726562,278.056457519531,-3121.19287109375,480.99755859375,246.911468505859,-3111.6259765625,71.0339736938477,107.646469116211,-3517.0888671875,66.6124649047852,270.562652587891,-2960.5390625,63.6726112365723,173.447738647461,-3098.37353515625,1325.7099609375,183.198577880859,-3102.29907226562,1130.00402832031
50,0.5,209.987899780273,-3205.7138671875,836.256042480469,201.540084838867,-3169.39453125,963.480346679688,105.39599609375,-3240.45874023438,462.650177001953,143.972763061523,-3210.84741210938,833.130676269531,131.20426940918,-3552.71557617188,204.856689453125,276.002960205078,-3200.58032226562,839.381225585938,278.255859375,-3114.79028320312,481.494293212891,246.760803222656,-3111.13403320312,71.2185516357422,107.262809753418,-3487.23681640625,72.0629730224609,270.825653076172,-2960.12841796875,63.5446739196777,173.840972900391,-3084.3232421875,1327.58239746094,183.461013793945,-3088.33862304688,1131.97399902344
51,0.51,210.460983276367,-3192.21533203125,838.036010742188,202.47819519043,-3156.10278320312,965.34912109375,105.219581604004,-3212.43530273438,463.393127441406,144.417221069336,-3197.0625,835.062683105469,131.923370361328,-3523.47802734375,207.746231079102,276.504730224609,-3187.36791992188,841.009094238281,278.247741699219,-3108.48706054688,482.052337646484,246.556182861328,-3110.40844726562,71.35986328125,106.588180541992,-3454.78979492188,76.8456573486328,271.263031005859,-2959.52368164062,63.3560028076172,174.1220703125,-3070.4296875,1329.46350097656,183.62092590332,-3074.55078125,1133.935546875
52,0.52,210.887420654297,-3178.708984375,839.852111816406,203.413986206055,-3142.82666015625,967.261108398438,105.13939666748,-3184.5888671875,464.761901855469,144.818618774414,-3183.32275390625,837.068908691406,132.725250244141,-3492.83349609375,209.162826538086,276.956176757812,-3174.09545898438,842.635009765625,278.091857910156,-3102.37329101562,482.619964599609,246.312911987305,-3109.49267578125,71.4607925415039,105.614402770996,-3420.11303710938,80.8209686279297,271.819610595703,-2958.7607421875,63.0997734069824,174.298477172852,-3056.68920898438,1331.32897949219,183.687057495117,-3060.92651367188,1135.86413574219
53,0.53,211.266845703125,-3165.19165039062,841.678588867188,204.340850830078,-3129.55883789062,969.1884765625,105.14013671875,-3157.07006835938,466.729400634766,145.176483154297,-3169.62231445312,839.120239257812,133.551162719727,-3460.88745117188,209.04035949707,277.357116699219,-3160.759765625,844.236877441406,277.84423828125,-3096.54956054688,483.155090332031,246.044982910156,-3108.44702148438,71.5336151123047,104.339965820312,-3383.54809570312,83.8997802734375,272.437713623047,-2957.8896484375,62.7853813171387,174.380172729492,-3043.0927734375,1333.15478515625,183.670440673828,-3047.4521484375,1137.73522949219
54,0.54,211.592636108398,-3151.66430664062,843.487915039062,205.248077392578,-3116.29541015625,971.1015625,105.205291748047,-3130.00317382812,469.236206054688,145.483932495117,-3155.95971679688,841.184936523438,134.337539672852,-3427.72802734375,207.361297607422,277.701293945312,-3147.3681640625,845.790649414062,277.540649414062,-3091.09814453125,483.633117675781,245.758346557617,-3107.3330078125,71.5967254638672,102.769653320312,-3345.39086914062,86.0398635864258,273.064605712891,-2956.96337890625,62.429630279541,174.378936767578,-3029.62866210938,1334.9169921875,183.584274291992,-3034.10888671875,1139.52673339844
55,0.55,211.853103637695,-3138.13525390625,845.25,206.12060546875,-3103.0390625,972.967956542969,105.318740844727,-3103.48608398438,472.195831298828,145.728927612305,-3142.33325195312,843.229370117188,135.019912719727,-3393.42358398438,204.156845092773,277.977233886719,-3133.93627929688,847.270751953125,277.192596435547,-3086.0546875,484.050628662109,245.449432373047,-3106.19995117188,71.6711044311523,100.916473388672,-3305.88037109375,87.2467727661133,273.658996582031,-2956.02563476562,62.0494384765625,174.307922363281,-3016.28369140625,1336.59106445312,183.442138671875,-3020.87817382812,1141.21533203125
