Frame	Time	PELO_X	PELO_Y	PELO_Z	PELP_X	PELP_Y	PELP_Z	LKJC_X	LKJC_Y	LKJC_Z	LHJC_X	LHJC_Y	LHJC_Z	LAJC_X	LAJC_Y	LAJC_Z	RHJC_X	RHJC_Y	RHJC_Z	RKJC_X	RKJC_Y	RKJC_Z	RAJC_X	RAJC_Y	RAJC_Z	LTOO_X	LTOO_Y	LTOO_Z	RTOO_X	RTOO_Y	RTOO_Z	TRXO_X	TRXO_Y	TRXO_Z	TRXP_X	TRXP_Y	TRXP_Z
24	0.24	171.3903046	-3573.927979	837.2541504	182.7455444	-3525.7771	960.2540894	115.4500656	-3673.131348	493.7376709	105.5930176	-3577.45166	844.4937134	0	0	0	237.1875763	-3570.40332	830.0145874	0	0	0	0	0	0	0	0	0	0	0	0	154.6100616	-3449.079346	1333.212769	164.2947693	-3449.792725	1136.130249
25	0.25	172.1499786	-3562.186279	835.246521	183.0122375	-3514.184326	958.3493042	115.8111649	-3665.423096	492.6954651	106.3366013	-3565.848877	842.2677612	0	0	0	237.9632874	-3558.522705	828.2250977	0	0	0	0	0	0	0	0	0	0	0	0	154.4707031	-3437.231934	1330.771362	164.4650574	-3438.112061	1133.616577
26	0.26	173.1577606	-3550.010742	833.4451904	183.2117615	-3502.381348	956.7612305	116.2119827	-3657.476563	491.6430969	107.3134842	-3553.837891	840.0779419	143.942627	-3798.887695	81.84101868	239.0020142	-3546.182373	826.8121948	0	0	0	0	0	0	102.8854065	-3657.036133	55.62684631	0	0	0	154.4434357	-3425.126709	1328.370117	164.7254181	-3426.211426	1131.150513
27	0.27	174.40625	-3537.38916	831.8547974	183.3575897	-3490.340576	955.4783325	116.6328735	-3649.27832	490.5983582	108.5208511	-3541.4104	837.9425659	143.6874695	-3796.737549	82.77638245	240.2916107	-3533.368164	825.7670898	0	0	0	0	0	0	103.1626053	-3655.097168	54.65858841	0	0	0	154.5318298	-3412.757813	1326.039063	165.0759277	-3414.081055	1128.763062
28	0.28	175.8795471	-3524.325439	830.4698486	183.4733887	-3478.036865	954.470459	117.0483246	-3640.806885	489.5765686	109.9491196	-3528.570557	835.8795166	143.4524078	-3794.95166	84.07360077	241.8099823	-3520.079346	825.0599365	0	0	0	0	0	0	103.4881287	-3653.593262	53.81793594	0	0	0	154.7387848	-3400.12207	1323.809326	165.5152588	-3401.710693	1126.486328
29	0.29	177.5539093	-3510.832275	829.2752075	183.5903778	-3465.442139	953.6928101	117.4287338	-3632.033936	488.5905762	111.5811996	-3515.333984	833.9064941	143.2165222	-3793.405273	85.75364685	243.5265503	-3506.32959	824.6437378	0	0	0	0	0	0	103.8055573	-3652.431396	53.0727005	0	0	0	155.0660706	-3387.218506	1321.709595	166.0436249	-3389.092041	1124.35022
30	0.3	179.3984833	-3496.935791	828.2507935	183.7441254	-3452.533691	953.0949097	117.7426758	-3622.914551	487.6474304	113.392395	-3501.726318	832.0408325	142.9416504	-3791.955566	87.83338165	245.4044952	-3492.14502	824.4605713	0	0	0	0	0	0	104.071228	-3651.506104	52.36624527	0	0	0	155.5142975	-3374.047607	1319.769531	166.6592255	-3376.216309	1122.384888
31	0.31	181.377594	-3482.672852	827.3743286	183.969696	-3439.295898	952.626709	117.9591827	-3613.386475	486.747467	115.3513794	-3487.781738	830.2994385	142.5885162	-3790.458984	90.33174133	247.4037476	-3477.564209	824.4491577	0	0	0	0	0	0	104.2558365	-3650.719971	51.62263489	0	0	0	156.0823669	-3360.615479	1318.015015	167.3601685	-3363.078857	1120.617432
32	0.32	183.4536896	-3468.086426	826.6255493	184.2973175	-3425.720459	952.2474976	118.0501099	-3603.366211	485.8821716	117.4227982	-3473.539795	828.6981201	142.1243744	-3788.768311	93.27033234	249.4845734	-3462.633057	824.5527344	0	0	0	0	0	0	104.3432465	-3649.989502	50.75047302	0	0	0	156.766983	-3346.929443	1316.470093	168.1427155	-3349.677002	1119.072144
33	0.33	185.5904236	-3453.225586	825.9883423	184.7497101	-3411.813232	951.9279785	117.9919281	-3592.746094	485.0328979	119.5701981	-3459.042969	827.2514038	141.5266571	-3786.731445	96.67258453	251.6106415	-3447.406982	824.7253418	0	0	0	0	0	0	104.3306427	-3649.253662	49.65061188	0	0	0	157.5626831	-3333.003418	1315.155884	169.0018921	-3336.014404	1117.770752
